n,gender,tournament,era,best_strategy,best_aw_mae,best_exact_pct,best_outcome_pct,Plan05_aw,ExpA_aw,ExpB_aw,ExpC_aw,ExpD_aw
88,W,Island Games,2015-2018,Plan01,2.5610883272083105,14.772727272727273,72.72727272727273,2.5610883272083105,2.5610883272083105,2.5610883272083105,2.5610883272083105,2.5610883272083105
88,W,AFF Championship,2019-2022,ExpA,3.4102183526323757,10.227272727272728,75.0,3.523848583499103,3.4102183526323757,3.4102183526323757,3.4102183526323757,3.4102183526323757
88,M,Island Games,2023-2026,Plan01,2.4788836105788885,5.681818181818182,68.18181818181817,2.4788836105788885,2.4788836105788885,2.4788836105788885,2.4788836105788885,2.4788836105788885
86,W,COSAFA Championship,2023-2026,ExpB,2.9080015392832146,8.13953488372093,53.48837209302325,3.047185561109659,3.047185561109659,2.9080015392832146,3.047185561109659,3.047185561109659
84,M,AFF Championship,2019-2022,ExpA,2.105737028681741,5.952380952380952,73.80952380952381,2.155720449267042,2.105737028681741,2.105737028681741,2.105737028681741,2.105737028681741
84,W,Friendly,2011-2014,Plan01,2.039149316993304,7.142857142857142,83.33333333333334,2.039149316993304,2.039149316993304,2.039149316993304,2.039149316993304,2.039149316993304
84,W,AFF Championship,2011-2014,Plan01,3.188452484381677,17.857142857142858,82.14285714285714,3.188452484381677,3.188452484381677,3.188452484381677,3.188452484381677,3.188452484381677
82,W,Island Games,2023-2026,ExpB,3.3953896016993843,0.0,54.87804878048781,3.6133161700629293,3.6133161700629293,3.3953896016993843,3.6133161700629293,3.6133161700629293
82,W,CAF Olympic Qualifying Tournament,2019-2022,Plan01,2.5561652242395696,4.878048780487805,52.4390243902439,2.5561652242395696,2.5561652242395696,2.5561652242395696,2.5561652242395696,2.5561652242395696
80,M,AFC Asian Cup qualification,2019-2022,Plan01,1.8983427588941038,18.75,75.0,1.8983427588941038,1.8983427588941038,1.8983427588941038,1.8983427588941038,1.8983427588941038
80,W,AFF Championship,2015-2018,ExpA,3.742860699847115,5.0,78.75,3.9263526450842337,3.742860699847115,3.742860699847115,3.742860699847115,3.742860699847115
